0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000 0.000 0.000 0.000 00.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000 0.078 0.019 0.022 0.006 0.051 0.014 0.050 0.029 0.012 0.000 0.000 0.000 0.000 0.000
0.000 0.000 0.034 0.644 0.553 0.316 0.294 0.273 0.303 0.240 0.145 0.069 0.013 0.000 0.000 0.000
0.000 0.000 0.047 0.373 0.772 0.736 0.613 0.675 0.507 0.408 0.322 0.148 0.039 0.000 0.000 0.000
0.000 0.000 0.060 0.326 0.731 1.224 0.873 0.853 0.783 0.553 0.469 0.216 0.052 0.000 0.000 0.000
0.000 0.000 0.068 0.175 0.505 0.828 1.081 0.948 0.845 0.694 0.432 0.252 0.049 0.000 0.000 0.000
0.000 0.000 0.042 0.350 0.419 0.778 0.831 1.149 1.111 0.774 0.581 0.231 0.035 0.000 0.000 0.000
0.000 0.000 0.047 0.217 0.490 0.765 0.900 0.963 1.173 0.949 0.703 0.244 0.050 0.000 0.000 0.000
0.000 0.000 0.063 0.274 0.336 0.579 0.740 0.814 0.837 0.822 0.546 0.278 0.040 0.000 0.000 0.000
0.000 0.000 0.069 0.207 0.283 0.590 0.686 0.715 0.962 0.934 0.732 0.355 0.049 0.000 0.000 0.000
0.000 0.000 0.110 0.143 0.196 0.359 0.498 0.470 0.597 0.474 0.453 0.283 0.047 0.000 0.000 0.000
0.000 0.000 0.032 0.017 0.067 0.118 0.130 0.153 0.165 0.162 0.128 0.098 0.014 0.000 0.000 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
